params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,st_prop,bhvr_rate
0.000000-r_fun-0.120000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.120000-notes/run_0,4342,15658,5256,14744,0.3210502072777522,0.439117199391172,0.0945469343461747,0.1474006897432622,all,1394.0,2308.0,0.0,0.12
0.000000-r_fun-0.160000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.160000-notes/run_0,1236,7125,897,7464,0.5355987055016181,0.3600891861761427,0.0886923901393354,0.0453333333333333,fn>=0_inferred,662.0,323.0,0.0,0.16
0.000000-r_fun-0.160000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.160000-notes/run_0,3152,8487,4265,7374,0.2515862944162436,0.4468933177022274,0.1075400054244643,0.2245787675268057,fn<0_inferred,793.0,1906.0,0.0,0.16
0.000000-r_fun-0.160000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.160000-notes/run_0,4388,15612,5162,14838,0.3315861440291704,0.431809376210771,0.0980590376061463,0.1427747886241352,all,1455.0,2229.0,0.0,0.16
0.000000-r_fun-0.160000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.160000-notes/run_0,2297,7745,2595,7447,0.3587287766652155,0.4323699421965318,0.1106485833221431,0.1448676565526145,fn<0,824.0,1122.0,0.0,0.16
0.000000-r_fun-0.160000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.160000-notes/run_0,2091,7867,2567,7391,0.3017694882831181,0.4312426957537982,0.0853741036395616,0.1407143765094699,fn>=0,631.0,1107.0,0.0,0.16
0.000000-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.200000-notes/run_0,4262,15738,5248,14752,0.3287189113092444,0.4548399390243902,0.0949701735357917,0.1516711144999364,all,1401.0,2387.0,0.0,0.2
0.000000-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.200000-notes/run_0,2126,7917,2646,7397,0.3109125117591721,0.4463340891912321,0.0893605515749628,0.1491726664140457,fn<0,661.0,1181.0,0.0,0.2
0.000000-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.200000-notes/run_0,2136,7821,2602,7355,0.3464419475655431,0.463489623366641,0.1006118286879673,0.1542002301495972,fn>=0,740.0,1206.0,0.0,0.2
0.000000-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.200000-notes/run_0,3515,8728,4768,7475,0.2620199146514936,0.4559563758389262,0.1232107023411371,0.249083409715857,fn<0_inferred,921.0,2174.0,0.0,0.2
0.000000-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.200000-notes/run_0,747,7010,480,7277,0.642570281124498,0.44375,0.0659612477669369,0.0303851640513552,fn>=0_inferred,480.0,213.0,0.0,0.2
0.000000-r_fun-0.240000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.240000-notes/run_0,2275,7662,2616,7321,0.3305494505494505,0.4178134556574923,0.1027182078950963,0.142652049073349,fn>=0,752.0,1093.0,0.0,0.24
0.000000-r_fun-0.240000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.240000-notes/run_0,1311,7220,1061,7470,0.4836003051106026,0.3619227144203581,0.0848728246318607,0.053185595567867,fn>=0_inferred,634.0,384.0,0.0,0.24
0.000000-r_fun-0.240000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.240000-notes/run_0,2119,7944,2636,7427,0.3025011798017933,0.4393019726858877,0.0863067187289619,0.1457703927492447,fn<0,641.0,1158.0,0.0,0.24
0.000000-r_fun-0.240000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.240000-notes/run_0,3083,8386,4191,7278,0.2461887771650989,0.4454784061083273,0.1042868920032976,0.2226329596947293,fn<0_inferred,759.0,1867.0,0.0,0.24
0.000000-r_fun-0.240000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.240000-notes/run_0,4394,15606,5252,14748,0.3170232134729176,0.4285986290936786,0.0944534852183346,0.144239395104447,all,1393.0,2251.0,0.0,0.24
0.000000-r_fun-0.280000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.280000-notes/run_0,2175,7783,2613,7345,0.3383908045977011,0.4492920015308075,0.1002042205582028,0.1508415777977643,fn>=0,736.0,1174.0,0.0,0.28
0.000000-r_fun-0.280000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.280000-notes/run_0,2122,7920,2576,7466,0.3270499528746465,0.4456521739130434,0.0929547281007232,0.1449494949494949,fn<0,694.0,1148.0,0.0,0.28
0.000000-r_fun-0.280000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.280000-notes/run_0,1386,7221,1672,6935,0.4603174603174603,0.5526315789473685,0.0919971160778659,0.1279601163273784,fn>=0_inferred,638.0,924.0,0.0,0.28
0.000000-r_fun-0.280000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.280000-notes/run_0,2911,8482,3517,7876,0.2720714531088973,0.3974978675007108,0.1005586592178771,0.1648196180146192,fn<0_inferred,792.0,1398.0,0.0,0.28
0.000000-r_fun-0.280000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.280000-notes/run_0,4297,15703,5189,14811,0.3327903188270886,0.4474850645596454,0.0965498615893592,0.1478698337897217,all,1430.0,2322.0,0.0,0.28
0.000000-r_fun-0.320000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.320000-notes/run_0,2183,7834,2591,7426,0.347686669720568,0.4504052489386337,0.1022084567734985,0.148966045442941,fn>=0,759.0,1167.0,0.0,0.32
0.000000-r_fun-0.320000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.320000-notes/run_0,3433,8432,4605,7260,0.2609962132245849,0.4490770901194354,0.1234159779614325,0.2452561669829222,fn<0_inferred,896.0,2068.0,0.0,0.32
0.000000-r_fun-0.320000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.320000-notes/run_0,2178,7805,2614,7369,0.3255280073461891,0.4380260137719969,0.0962138689102999,0.1467008327994875,fn<0,709.0,1145.0,0.0,0.32
0.000000-r_fun-0.320000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.320000-notes/run_0,4361,15639,5205,14795,0.3366200412749369,0.4441882804995197,0.0992227103751267,0.1478355393567363,all,1468.0,2312.0,0.0,0.32
0.000000-r_fun-0.320000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.320000-notes/run_0,928,7207,600,7535,0.6163793103448276,0.4066666666666667,0.075912408759124,0.033855973359234,fn>=0_inferred,572.0,244.0,0.0,0.32
0.000000-r_fun-0.360000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.360000-notes/run_0,4373,15627,5258,14742,0.3180882689229362,0.4328642069227843,0.0943562610229276,0.1456453573942535,all,1391.0,2276.0,0.0,0.36
0.000000-r_fun-0.360000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.360000-notes/run_0,2180,7610,2541,7249,0.3288990825688073,0.4242424242424242,0.0989101945095875,0.1416557161629435,fn<0,717.0,1078.0,0.0,0.36
0.000000-r_fun-0.360000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.360000-notes/run_0,2193,8017,2717,7493,0.3073415412676699,0.4409274935590725,0.0899506205792072,0.1494324560309342,fn>=0,674.0,1198.0,0.0,0.36
0.000000-r_fun-0.360000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.360000-notes/run_0,3333,8494,4275,7552,0.2505250525052505,0.415672514619883,0.1105667372881356,0.2092064987049682,fn<0_inferred,835.0,1777.0,0.0,0.36
0.000000-r_fun-0.360000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.360000-notes/run_0,1040,7133,983,7190,0.5346153846153846,0.5076297049847406,0.0773296244784422,0.0699565400252348,fn>=0_inferred,556.0,499.0,0.0,0.36
0.000000-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.400000-notes/run_0,4277,15723,5223,14777,0.3200841711480009,0.4432318590848171,0.0926439737429789,0.1472365324683584,all,1369.0,2315.0,0.0,0.4
0.000000-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.400000-notes/run_0,1681,7627,1907,7401,0.3848899464604402,0.4577871001573151,0.0874206188352925,0.1144617805165858,fn>=0_inferred,647.0,873.0,0.0,0.4
0.000000-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.400000-notes/run_0,2596,8096,3316,7376,0.2781201848998459,0.4348612786489746,0.0978850325379609,0.1781126482213438,fn<0_inferred,722.0,1442.0,0.0,0.4
0.000000-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.400000-notes/run_0,2106,7865,2613,7358,0.3262108262108262,0.4569460390355913,0.0933677629790704,0.1518118245390972,fn>=0,687.0,1194.0,0.0,0.4
0.000000-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.400000-notes/run_0,2171,7858,2610,7419,0.3141409488714878,0.4295019157088122,0.0919261355977894,0.1426571646729447,fn<0,682.0,1121.0,0.0,0.4
0.000000-r_fun-0.440000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.440000-notes/run_0,2407,7896,2861,7442,0.3032820938928126,0.4138413142257952,0.0980919107766729,0.1499493414387031,fn<0_inferred,730.0,1184.0,0.0,0.44
0.000000-r_fun-0.440000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.440000-notes/run_0,1851,7846,2292,7405,0.3446785521339816,0.4707678883071553,0.0861580013504389,0.137522304358909,fn>=0_inferred,638.0,1079.0,0.0,0.44
0.000000-r_fun-0.440000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.440000-notes/run_0,2122,7854,2589,7387,0.3284637134778511,0.4495944380069525,0.0943549478814133,0.1482047364400305,fn>=0,697.0,1164.0,0.0,0.44
0.000000-r_fun-0.440000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.440000-notes/run_0,4258,15742,5153,14847,0.3212775951150775,0.439161653405783,0.0921398262275207,0.1437555583788591,all,1368.0,2263.0,0.0,0.44
0.000000-r_fun-0.440000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.440000-notes/run_0,2136,7888,2564,7460,0.3141385767790262,0.4286271450858034,0.0899463806970509,0.1393255578093306,fn<0,671.0,1099.0,0.0,0.44
0.000000-r_fun-0.480000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.480000-notes/run_0,2152,7707,2539,7320,0.3355018587360595,0.4367861362741236,0.0986338797814207,0.1438951602439341,fn>=0_inferred,722.0,1109.0,0.0,0.48
0.000000-r_fun-0.480000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.480000-notes/run_0,2372,7769,2756,7385,0.3090219224283305,0.4052975326560232,0.0992552471225457,0.143776547818252,fn<0_inferred,733.0,1117.0,0.0,0.48
0.000000-r_fun-0.480000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.480000-notes/run_0,4524,15476,5295,14705,0.3216180371352785,0.4203966005665722,0.0989459367562053,0.1438356164383561,all,1455.0,2226.0,0.0,0.48
0.000000-r_fun-0.480000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.480000-notes/run_0,2290,7543,2598,7235,0.3414847161572052,0.4195535026943803,0.1080856945404284,0.1445048389235052,fn>=0,782.0,1090.0,0.0,0.48
0.000000-r_fun-0.480000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.480000-notes/run_0,2234,7933,2697,7470,0.3012533572068039,0.4212087504634779,0.0900937081659973,0.1431992940879869,fn<0,673.0,1136.0,0.0,0.48
0.000000-r_fun-0.520000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.520000-notes/run_0,1497,7296,1424,7369,0.4008016032064128,0.3700842696629213,0.081422173972045,0.0722313596491228,fn>=0_inferred,600.0,527.0,0.0,0.52
0.000000-r_fun-0.520000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.520000-notes/run_0,4400,15600,5179,14821,0.3195454545454545,0.4218961189418806,0.094865393698131,0.1400641025641025,all,1406.0,2185.0,0.0,0.52
0.000000-r_fun-0.520000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.520000-notes/run_0,2178,7891,2579,7490,0.3209366391184573,0.426521907716169,0.093324432576769,0.1393993156760866,fn<0,699.0,1100.0,0.0,0.52
0.000000-r_fun-0.520000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.520000-notes/run_0,2222,7709,2600,7331,0.3181818181818182,0.4173076923076923,0.0964397762924566,0.1407445842521728,fn>=0,707.0,1085.0,0.0,0.52
0.000000-r_fun-0.520000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.520000-notes/run_0,2903,8304,3755,7452,0.2776438167413021,0.4415446071904128,0.1081588835212023,0.1996628131021194,fn<0_inferred,806.0,1658.0,0.0,0.52
0.000000-r_fun-0.560000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.560000-notes/run_0,2191,7985,2728,7448,0.2984938384299406,0.4365835777126099,0.0878088077336197,0.1491546649968691,fn>=0,654.0,1191.0,0.0,0.56
0.000000-r_fun-0.560000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.560000-notes/run_0,2232,7592,2573,7251,0.3396057347670251,0.4271278663039253,0.1045373051992828,0.1447576396206533,fn<0,758.0,1099.0,0.0,0.56
0.000000-r_fun-0.560000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.560000-notes/run_0,3050,8292,4139,7203,0.2481967213114754,0.4460014496255134,0.1050950992641954,0.2226242161119151,fn<0_inferred,757.0,1846.0,0.0,0.56
0.000000-r_fun-0.560000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.560000-notes/run_0,1373,7285,1162,7496,0.4770575382374363,0.3820998278829604,0.0873799359658484,0.0609471516815374,fn>=0_inferred,655.0,444.0,0.0,0.56
0.000000-r_fun-0.560000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.560000-notes/run_0,4423,15577,5301,14699,0.319240334614515,0.4319939634031315,0.0960609565276549,0.1470116196957052,all,1412.0,2290.0,0.0,0.56
0.000000-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.600000-notes/run_0,1795,7743,2404,7134,0.3454038997214484,0.5112312811980033,0.0869077656293804,0.1587240087821257,fn<0_inferred,620.0,1229.0,0.0,0.6
0.000000-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.600000-notes/run_0,2226,7780,2590,7416,0.330188679245283,0.4243243243243243,0.0991100323624595,0.1412596401028277,fn>=0,735.0,1099.0,0.0,0.6
0.000000-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.600000-notes/run_0,4352,15648,5182,14818,0.3251378676470588,0.433230412967966,0.0954919692266162,0.1434688139059304,all,1415.0,2245.0,0.0,0.6
0.000000-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.600000-notes/run_0,2557,7905,2778,7684,0.3109112240907313,0.3657307415406767,0.1034617386777719,0.1285262492093611,fn>=0_inferred,795.0,1016.0,0.0,0.6
0.000000-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.600000-notes/run_0,2126,7868,2592,7402,0.3198494825964252,0.4421296296296296,0.0918670629559578,0.1456532791052364,fn<0,680.0,1146.0,0.0,0.6
0.000000-r_fun-0.640000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/bad_actor_no_bias_grid/output_helpfulness_True/data/0.000000-r_fun-0.640000-notes/run_0,2217,7777,2633,7361,0.3265674334686513,0.4329661982529434,0.098356201603043,0.1465860871801466,fn<0,724.0,1140.0,0.0,0.64
