params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,mu_fur
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1283,7513,1421,7375,0.3897116134060795,0.4489795918367347,0.0677966101694915,0.0849194729136164,fn>=0_inferred,500.0,638.0,1.0,0.5
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,3700,16300,5193,14807,0.2286486486486486,0.4504140188715578,0.0571351387857094,0.1434969325153374,all,846.0,2339.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1948,8103,2613,7438,0.2392197125256673,0.4328358208955223,0.0626512503361118,0.139577934098482,fn<0,466.0,1131.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1752,8197,2580,7369,0.2168949771689497,0.4682170542635659,0.0515673768489618,0.1473709893863608,fn>=0,380.0,1208.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1544,8081,2443,7182,0.2448186528497409,0.5227179697093737,0.0526315789473684,0.1580249969063234,fn<0_inferred,378.0,1277.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,2156,8219,2750,7625,0.2170686456400742,0.3861818181818182,0.0613770491803278,0.1292127996106582,fn>=0_inferred,468.0,1062.0,1.0,0.6
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1411,7823,2061,7173,0.2749822820694543,0.5036390101892285,0.0540917328872159,0.1326856704589032,fn>=0_inferred,388.0,1038.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,3703,16297,5266,14734,0.2165811504185795,0.4491074819597417,0.0544319261571874,0.1451187335092348,all,802.0,2365.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1777,8298,2609,7466,0.2166572875633089,0.4664622460712916,0.0515671042057326,0.1466618462280067,fn<0,385.0,1217.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1926,7999,2657,7268,0.2165109034267912,0.4320662401204366,0.0573747936158503,0.1435179397424678,fn>=0,417.0,1148.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,2292,8474,3205,7561,0.1806282722513089,0.4140405616224649,0.0547546620817352,0.1565966485721029,fn<0_inferred,414.0,1327.0,1.0,0.7
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1674,8286,2615,7345,0.2001194743130227,0.4879541108986616,0.0456092579986385,0.1539946898382814,fn>=0_inferred,335.0,1276.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1622,8418,2559,7481,0.2053020961775585,0.4962876123485736,0.0445127656730383,0.1508671893561416,fn<0_inferred,333.0,1270.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1610,8456,2614,7452,0.1981366459627329,0.5061208875286917,0.0428073000536768,0.1564569536423841,fn>=0,319.0,1323.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1686,8248,2560,7374,0.2069988137603796,0.477734375,0.0473284513154326,0.148278370514064,fn<0,349.0,1223.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,3296,16704,5174,14826,0.2026699029126213,0.4920757634325473,0.0450559827330365,0.1524185823754789,all,668.0,2546.0,1.0,0.8
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,1608,8429,2605,7432,0.1921641791044776,0.5013435700575816,0.0415769644779332,0.1549412741724997,fn<0,309.0,1306.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,1126,8071,1705,7492,0.2593250444049733,0.510850439882698,0.0389749065670048,0.107917234543427,fn<0_inferred,292.0,871.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,1574,8389,2601,7362,0.1797966963151207,0.5036524413687044,0.0384406411301276,0.1561568720944093,fn>=0,283.0,1310.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,3182,16818,5206,14794,0.1860465116279069,0.5024971187091817,0.0400162227930242,0.1555476275419193,all,592.0,2616.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,2056,8747,3501,7302,0.1459143968871595,0.49842902027992,0.0410846343467543,0.1994969703898479,fn>=0_inferred,300.0,1745.0,1.0,0.9
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1596,8553,2902,7247,0.1723057644110275,0.5447966919365954,0.037946736580654,0.184847421957208,fn<0_inferred,275.0,1581.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1602,8249,2243,7608,0.1853932584269663,0.4181899242086491,0.0390378548895899,0.1137107528185234,fn>=0_inferred,297.0,938.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1535,8377,2522,7390,0.1752442996742671,0.4980174464710547,0.0364005412719891,0.1499343440372448,fn<0,269.0,1256.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1663,8425,2623,7465,0.1822008418520745,0.4815097216927183,0.040589417280643,0.1499109792284866,fn>=0,303.0,1263.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,3198,16802,5145,14855,0.1788617886178861,0.4896015549076773,0.0385055536856277,0.1499226282585406,all,572.0,2519.0,1.0,1.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,2144,7828,2632,7340,0.3129664179104477,0.4403495440729483,0.09141689373297,0.1480582524271844,fn>=0,671.0,1159.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,2726,8190,3207,7709,0.2894350696991929,0.3960087309011537,0.10234790504605,0.155067155067155,fn<0_inferred,789.0,1270.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,1590,7494,1980,7104,0.3811320754716981,0.503030303030303,0.085304054054054,0.132906325060048,fn>=0_inferred,606.0,996.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,4316,15684,5187,14813,0.3232159406858202,0.4368613842298053,0.0941740363194491,0.1444784493751593,all,1395.0,2266.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,2172,7856,2555,7473,0.3333333333333333,0.4332681017612524,0.096882108925465,0.1409114052953156,fn<0,724.0,1107.0,10.0,0.0
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,4229,15771,5121,14879,0.3310475289666588,0.4475688342120679,0.0940923449156529,0.1453300361422864,all,1400.0,2292.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,1997,8054,2568,7483,0.2974461692538808,0.4536604361370716,0.0793799278364292,0.1446486218028309,fn<0,594.0,1165.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2232,7717,2553,7396,0.3611111111111111,0.4414414414414414,0.1089778258518117,0.1460412077232085,fn>=0,806.0,1127.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,1022,7201,979,7244,0.5919765166340509,0.5740551583248212,0.0835173937051352,0.078044716011665,fn>=0_inferred,605.0,562.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,3207,8570,4142,7635,0.2478952291861552,0.4176726219217769,0.1041257367387033,0.2018669778296382,fn<0_inferred,795.0,1730.0,10.0,0.1
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2161,7937,2632,7466,0.3317908375751967,0.4513677811550152,0.0960353603000267,0.149678719919365,fn<0,717.0,1188.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,3184,8527,4392,7319,0.2374371859296482,0.4471766848816029,0.1032927995627818,0.2303271959657558,fn<0_inferred,756.0,1964.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2075,7827,2579,7323,0.3050602409638554,0.4408685537029856,0.0864399836132732,0.145266385588348,fn>=0,633.0,1137.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,4236,15764,5211,14789,0.3186968838526912,0.4461715601611974,0.0912840624788694,0.1474879472215173,all,1350.0,2325.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,1052,7237,819,7470,0.564638783269962,0.4407814407814407,0.0795180722891566,0.0498825480171341,fn>=0_inferred,594.0,361.0,10.0,0.2
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,4215,15785,5198,14802,0.3160142348754448,0.4453636013851481,0.0899878394811512,0.1466582198289515,all,1332.0,2315.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2001,8004,2603,7402,0.3013493253373313,0.4629273914713792,0.0814644690624155,0.1505497251374312,fn>=0,603.0,1205.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2214,7781,2595,7400,0.3292682926829268,0.4277456647398844,0.0985135135135135,0.1426551857087778,fn<0,729.0,1110.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,873,7188,733,7328,0.5990836197021764,0.5225102319236017,0.0713700873362445,0.0532832498608792,fn>=0_inferred,523.0,383.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,3342,8597,4465,7474,0.2420706163973668,0.4326987681970884,0.1082419052716082,0.2247295568221472,fn<0_inferred,809.0,1932.0,10.0,0.3
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,1940,8027,2514,7453,0.2871134020618556,0.4498806682577566,0.0747350060378371,0.1408994643079606,fn>=0_inferred,557.0,1131.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,2184,7849,2721,7312,0.2655677655677655,0.4105108416023521,0.0793216630196936,0.1423111224359791,fn<0_inferred,580.0,1117.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,2102,8016,2596,7522,0.2768791627021884,0.4144838212634822,0.0773730390853496,0.1342315369261477,fn<0,582.0,1076.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,2022,7860,2639,7243,0.2744807121661721,0.4441076165214096,0.0766257075797321,0.1491094147582697,fn>=0,555.0,1172.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,4124,15876,5235,14765,0.2757032007759457,0.4294173829990449,0.0770064341347781,0.1415973796926178,all,1137.0,2248.0,10.0,0.4
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1976,8039,2674,7341,0.2459514170040485,0.4427823485415108,0.0662035145075602,0.1472820002487871,fn>=0,486.0,1184.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1833,8152,2570,7415,0.2318603382433169,0.4521400778210117,0.057316250842886,0.1425417075564278,fn<0,425.0,1162.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1918,8027,2182,7763,0.2539103232533889,0.344179651695692,0.0627334793250032,0.0935592375731904,fn<0_inferred,487.0,751.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1891,8164,3062,6993,0.2242199894235854,0.5209013716525147,0.0606320606320606,0.1953699167074963,fn>=0_inferred,424.0,1595.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,3809,16191,5244,14756,0.2391703859280651,0.4473684210526316,0.0617375982651125,0.1448953122104873,all,911.0,2346.0,10.0,0.5
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,3733,16267,5244,14756,0.2333244039646397,0.4542334096109839,0.059026836541068,0.1464314255855412,all,871.0,2382.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1682,8099,2179,7602,0.2693222354340071,0.4359798072510326,0.0595895816890292,0.1172984319051734,fn>=0_inferred,453.0,950.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1969,8138,2699,7408,0.2432706957846622,0.4479436828454983,0.0646598272138228,0.1485623003194888,fn<0,479.0,1209.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,2051,8168,3065,7154,0.2038030229156509,0.4672104404567699,0.0584288509924517,0.1753183153770812,fn<0_inferred,418.0,1432.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/user_pol/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1764,8129,2545,7348,0.2222222222222222,0.4609037328094302,0.0533478497550353,0.1442981916594907,fn>=0,392.0,1173.0,10.0,0.6
