params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,var_iu
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,1809,8129,2570,7368,0.2410171365395246,0.4657587548638132,0.0591748099891422,0.1472505843277156,fn<0,436.0,1197.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,3733,16267,5204,14796,0.2603803911063488,0.469446579554189,0.0656934306569343,0.1501813487428536,all,972.0,2443.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,1121,7377,1292,7206,0.3871543264942016,0.468266253869969,0.0602275881210102,0.0820116578554968,fn>=0_inferred,434.0,605.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2612,8890,3912,7590,0.2059724349157733,0.4698364008179959,0.0708827404479578,0.2067491563554555,fn<0_inferred,538.0,1838.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,1924,8138,2634,7428,0.2785862785862786,0.4730447987851177,0.0721593968766828,0.1531088719587122,fn>=0,536.0,1246.0,1.0,0.3
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1387,10308,2793,8902,0.2537851478010093,0.6294307196562836,0.0395416760278589,0.1705471478463329,fn<0_inferred,352.0,1758.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1675,8378,2637,7416,0.231044776119403,0.5115661736822147,0.0521844660194174,0.1610169491525423,fn<0,387.0,1349.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,2075,6230,2476,5829,0.2409638554216867,0.3638933764135703,0.0857780065191285,0.1446227929373996,fn>=0_inferred,500.0,901.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,3462,16538,5269,14731,0.2461005199306759,0.5046498386790662,0.0578372140384223,0.1607812311041238,all,852.0,2659.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1787,8160,2632,7315,0.2602126468942362,0.4977203647416413,0.063568010936432,0.1605392156862745,fn>=0,465.0,1310.0,1.0,0.4
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,2266,3141,3150,2257,0.2325684024713151,0.4479365079365079,0.23349579087284,0.449219993632601,fn>=0_inferred,527.0,1411.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,2908,17092,5208,14792,0.2448418156808803,0.5783410138248848,0.0481341265548945,0.1762227942897261,all,712.0,3012.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1411,8524,2626,7309,0.2296243798724309,0.586062452399086,0.0443289095635517,0.1805490380103238,fn>=0,324.0,1539.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1497,8568,2582,7483,0.259185036740147,0.5704879938032533,0.0518508619537618,0.1719187675070028,fn<0,388.0,1473.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,642,13951,2058,12535,0.2881619937694704,0.7779397473275025,0.0147586757080175,0.1147587986524263,fn<0_inferred,185.0,1601.0,1.0,0.5
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,721,9343,2690,7374,0.2149791955617198,0.7895910780669145,0.0210197992948196,0.2273359734560633,fn>=0,155.0,2124.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1529,6556,4898,3187,0.2701111837802485,0.7721518987341772,0.1295889551302165,0.5768761439902379,fn<0_inferred,413.0,3782.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,4,11911,359,11556,0.0,0.9888579387186628,0.0,0.0298043825035681,fn>=0_inferred,0.0,355.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,812,9124,2567,7369,0.3177339901477832,0.7841838722243865,0.0350115348079793,0.2206269180184129,fn<0,258.0,2013.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1533,18467,5257,14743,0.2694063926940639,0.7869507323568575,0.0280132944448212,0.2240212270536632,all,413.0,4137.0,1.0,0.6
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,815,9133,2564,7384,0.3006134969325153,0.7776911076443058,0.0331798483206933,0.2183291360998576,fn>=0,245.0,1994.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,866,9186,2620,7432,0.2702078521939954,0.7587786259541984,0.0314854682454251,0.2164162856520792,fn<0,234.0,1988.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1663,4648,4206,2105,0.2820204449789537,0.7161198288159771,0.2228028503562945,0.6480206540447504,fn<0_inferred,469.0,3012.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,18,13671,978,12711,0.5555555555555556,0.9918200408997956,0.0007867201636377,0.0709531124277668,fn>=0_inferred,10.0,970.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1681,18319,5184,14816,0.2849494348602022,0.7681327160493827,0.0323299136069114,0.2173699437742234,all,479.0,3982.0,1.0,0.7
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1036,18964,5254,14746,0.2828185328185328,0.8585839360487247,0.0198697951986979,0.2378717570132883,all,293.0,4511.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,484,9441,2674,7251,0.2644628099173554,0.8668661181750187,0.0176527375534409,0.245524838470501,fn>=0,128.0,2318.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1036,8199,5238,3997,0.2828185328185328,0.8581519663993891,0.0733049787340505,0.5482375899499939,fn<0_inferred,293.0,4495.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,0,10765,16,10749,0.0,1.0,0.0,0.001486298188574,fn>=0_inferred,0.0,16.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,552,9523,2580,7495,0.2989130434782608,0.85,0.0220146764509673,0.230284574188806,fn<0,165.0,2193.0,1.0,0.8
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,7,14042,1199,12850,0.8571428571428571,0.999165971643036,0.0004669260700389,0.0853154821250534,fn<0_inferred,6.0,1198.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,1488,4463,3976,1975,0.2809139784946236,0.7308853118712274,0.2116455696202531,0.6511315258794533,fn>=0_inferred,418.0,2906.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,733,9335,2597,7471,0.2783083219645293,0.7963034270311898,0.0273055815821175,0.2215318693090519,fn>=0,204.0,2068.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,762,9170,2578,7354,0.2887139107611549,0.7897595034910784,0.0299156921403317,0.2220283533260632,fn<0,220.0,2036.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,1495,18505,5175,14825,0.2836120401337793,0.7930434782608695,0.0286003372681281,0.2217778978654417,all,424.0,4104.0,1.0,0.9
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,581,9452,2575,7458,0.2736660929432014,0.836116504854369,0.0213193885760257,0.2277824798984342,fn>=0,159.0,2153.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,567,9400,2630,7337,0.2698412698412698,0.8425855513307985,0.0208532097587569,0.2357446808510638,fn<0,153.0,2216.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1147,5301,4260,2188,0.2711421098517872,0.8037558685446009,0.1421389396709323,0.6459158649311451,fn<0_inferred,311.0,3424.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1,13551,945,12607,1.0,1.0,7.932101213611486e-05,0.0697365508080584,fn>=0_inferred,1.0,945.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1148,18852,5205,14795,0.2717770034843205,0.8393852065321806,0.0210882054748225,0.2317525991937195,all,312.0,4369.0,1.0,1.0
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2467,7537,2636,7368,0.3785974868261045,0.4184370257966616,0.1267643865363735,0.1463446994825527,fn>=0,934.0,1103.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2884,7474,3427,6931,0.3332177531206657,0.4388678144149401,0.1386524311066224,0.2012309339042012,fn>=0_inferred,961.0,1504.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,4910,15090,5279,14721,0.3712830957230142,0.4152301572267475,0.1238366958766388,0.1452617627567926,all,1823.0,2192.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2443,7553,2643,7353,0.3638968481375358,0.4120317820658343,0.1209030327757378,0.1441811200847345,fn<0,889.0,1089.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2026,7616,1852,7790,0.4254689042448173,0.3714902807775378,0.1106546854942233,0.0903361344537815,fn<0_inferred,862.0,688.0,10.0,0.1
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,1121,7199,1054,7266,0.5450490633363069,0.5161290322580645,0.0840902835122488,0.0755660508403945,fn>=0_inferred,611.0,544.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2267,7920,2686,7501,0.3374503749448611,0.4408041697691734,0.1019864018130915,0.1494949494949495,fn<0,765.0,1184.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,3296,8384,4151,7529,0.2572815533980582,0.4102625873283546,0.112631159516536,0.203125,fn<0_inferred,848.0,1703.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,4417,15583,5205,14795,0.3303146932306995,0.431700288184438,0.0986143967556607,0.1441955977667971,all,1459.0,2247.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2150,7663,2519,7294,0.3227906976744186,0.4219928543072648,0.0951466959144502,0.1387185175518726,fn>=0,694.0,1063.0,10.0,0.2
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,1935,7979,2514,7400,0.3054263565891473,0.4653937947494033,0.0798648648648648,0.1466349166562225,fn>=0,591.0,1170.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2034,8391,2965,7460,0.2915437561455261,0.5139966273187184,0.0794906166219839,0.1816231676796567,fn<0_inferred,593.0,1524.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,1927,7648,2145,7430,0.32952776336274,0.3976689976689976,0.085464333781965,0.1115324267782426,fn>=0_inferred,635.0,853.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2026,8060,2596,7490,0.3144126357354393,0.4649460708782743,0.0850467289719626,0.1497518610421836,fn<0,637.0,1207.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,3961,16039,5110,14890,0.3100227215349659,0.4651663405088063,0.0824714573539288,0.148201259430139,all,1228.0,2377.0,10.0,0.3
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,1811,8159,2610,7360,0.2622860298177802,0.4881226053639846,0.0645380434782608,0.156146586591494,fn<0,475.0,1274.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,1661,8369,2627,7403,0.2360024081878386,0.5169394746859536,0.0529515061461569,0.1622655036444019,fn>=0,392.0,1358.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,3472,16528,5237,14763,0.2497119815668202,0.5025778117242696,0.0587279008331639,0.159244917715392,all,867.0,2632.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,688,8012,1343,7357,0.4505813953488372,0.7185405807892777,0.0421367405192333,0.1204443334997503,fn>=0_inferred,310.0,965.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,2784,8516,3894,7406,0.2000718390804597,0.4280945043656908,0.0752092897650553,0.1957491780178487,fn<0_inferred,557.0,1667.0,10.0,0.4
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,2884,17116,5170,14830,0.2569348127600555,0.5854932301740813,0.0499662845583277,0.176852068240243,all,741.0,3027.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1820,5595,2213,5202,0.2681318681318681,0.3981021238138273,0.0938100730488273,0.157462019660411,fn>=0_inferred,488.0,881.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1351,8594,2585,7360,0.2235381199111769,0.5941972920696325,0.0410326086956521,0.1787293460553874,fn<0,302.0,1536.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1533,8522,2585,7470,0.2863666014350945,0.57678916827853,0.058768406961178,0.1749589298286787,fn>=0,439.0,1491.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1064,11521,2957,9628,0.237781954887218,0.7257355427798444,0.026277523888658,0.1862685530769898,fn<0_inferred,253.0,2146.0,10.0,0.5
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1190,8912,2604,7498,0.2823529411764706,0.6720430107526881,0.0448119498532942,0.1963644524236983,fn>=0,336.0,1750.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,2082,4422,4062,2442,0.2694524495677233,0.6255539143279173,0.2297297297297297,0.5746268656716418,fn>=0_inferred,561.0,2541.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,236,13260,1104,12392,0.3347457627118644,0.8577898550724637,0.006375080697224,0.0714177978883861,fn<0_inferred,79.0,947.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1128,8770,2562,7336,0.2695035460992908,0.6783762685402029,0.0414394765539803,0.1981755986316989,fn<0,304.0,1738.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,2318,17682,5166,14834,0.2761000862812769,0.6751838946960899,0.0431441283537818,0.1972627530822305,all,640.0,3488.0,10.0,0.6
10-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.700000-notes/run_0,837,9131,2675,7293,0.2652329749103942,0.7700934579439253,0.0304401480872069,0.2256050815901872,fn>=0,222.0,2060.0,10.0,0.7
10-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.700000-notes/run_0,1662,18338,5290,14710,0.259927797833935,0.7674858223062382,0.0293677770224337,0.2213981895517504,all,432.0,4060.0,10.0,0.7
10-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.700000-notes/run_0,16,13628,1175,12469,0.5625,0.9940425531914894,0.0007217900392974,0.0857058996184326,fn>=0_inferred,9.0,1168.0,10.0,0.7
10-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.700000-notes/run_0,825,9207,2615,7417,0.2545454545454545,0.7648183556405354,0.0283133342321693,0.2172260236776365,fn<0,210.0,2000.0,10.0,0.7
10-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.700000-notes/run_0,1646,4710,4115,2241,0.2569866342648845,0.7027946537059538,0.1887550200803212,0.6140127388535032,fn<0_inferred,423.0,2892.0,10.0,0.7
10-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.800000-notes/run_0,1197,6561,4807,2951,0.2598162071846282,0.8156854587060537,0.1053880040664181,0.5976223136716964,fn<0_inferred,311.0,3921.0,10.0,0.8
10-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.800000-notes/run_0,0,12242,402,11840,0.0,1.0,0.0,0.0328377716059467,fn>=0_inferred,0.0,402.0,10.0,0.8
10-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.800000-notes/run_0,592,9335,2583,7344,0.2466216216216216,0.8273325590398761,0.0198801742919389,0.2289234065345474,fn<0,146.0,2137.0,10.0,0.8
10-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.800000-notes/run_0,605,9468,2626,7447,0.2727272727272727,0.8324447829398325,0.0221565731166912,0.2308829742289818,fn>=0,165.0,2186.0,10.0,0.8
10-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/iu_var/output_helpfulness_True/data/10-r_fun-0.800000-notes/run_0,1197,18803,5209,14791,0.2598162071846282,0.8299097715492417,0.0210262997768913,0.2299101207254161,all,311.0,4323.0,10.0,0.8
