params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,dhom
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,3247,6416,3932,5731,0.2667077302125038,0.3944557477110885,0.1511080090734601,0.2417394014962593,fn<0_inferred,866.0,1551.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2236,7858,2544,7550,0.3993738819320214,0.4720911949685534,0.1182781456953642,0.1528378722321201,fn>=0,893.0,1201.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,2118,7788,2584,7322,0.3087818696883853,0.4334365325077399,0.0893198579623053,0.1438109912686183,fn<0,654.0,1120.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,4354,15646,5128,14872,0.3553054662379421,0.4526131045241809,0.104020979020979,0.1483446248242362,all,1547.0,2321.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.200000-notes/run_0,1107,9230,1196,9141,0.6151761517615176,0.6438127090301003,0.0744995077125041,0.0834236186348862,fn>=0_inferred,681.0,770.0,1.0,0.2
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2303,7668,2581,7390,0.3590968302214503,0.428128632313057,0.1119079837618403,0.1441053729786124,fn<0,827.0,1105.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,3345,5389,3328,5406,0.2738415545590433,0.2701322115384615,0.1694413614502404,0.1668213026535535,fn>=0_inferred,916.0,899.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,1355,9911,1897,9369,0.5778597785977859,0.69847127042699,0.0835734870317002,0.1336898395721925,fn<0_inferred,783.0,1325.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,2397,7632,2644,7385,0.3637880684188569,0.4232223903177005,0.118077183480027,0.1466194968553459,fn>=0,872.0,1119.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.300000-notes/run_0,4700,15300,5225,14775,0.3614893617021276,0.425645933014354,0.1149915397631133,0.145359477124183,all,1699.0,2224.0,1.0,0.3
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1896,8059,2545,7410,0.4208860759493671,0.5685658153241651,0.1076923076923077,0.179550812755925,fn<0,798.0,1447.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,3868,16132,5053,14947,0.4141675284384695,0.5515535325549179,0.1071786980665016,0.1727622117530374,all,1602.0,2787.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1722,7934,2667,6989,0.4175377468060395,0.6239220097487814,0.1028759479181571,0.2097302747668263,fn<0_inferred,719.0,1664.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,2146,8198,2386,7958,0.4114631873252563,0.4706621961441743,0.1109575270168384,0.1369846303976579,fn>=0_inferred,883.0,1123.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.400000-notes/run_0,1972,8073,2508,7537,0.4077079107505071,0.5342902711323764,0.1066737428685153,0.1659853833766877,fn>=0,804.0,1340.0,1.0,0.4
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,3701,16299,5213,14787,0.4415022966765739,0.6034912718204489,0.1105024683843916,0.1930179765629793,all,1634.0,3146.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1757,8250,2592,7415,0.4234490608992601,0.6091820987654321,0.1003371544167228,0.1913939393939394,fn>=0,744.0,1579.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1462,8802,2814,7450,0.4699042407660738,0.724591329068941,0.0922147651006711,0.231651897296069,fn<0_inferred,687.0,2039.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,2239,7497,2399,7337,0.4229566770879857,0.4614422676115048,0.1290718277225024,0.1476590636254501,fn>=0_inferred,947.0,1107.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.500000-notes/run_0,1944,8049,2621,7372,0.4578189300411522,0.5978634109118657,0.12072707542051,0.1946825692632625,fn<0,890.0,1567.0,1.0,0.5
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1840,8110,2686,7264,0.4907608695652174,0.6511541325390916,0.1243116740088105,0.2156596794081381,fn>=0,903.0,1749.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,3280,7816,5290,5806,0.3969512195121951,0.6260869565217392,0.2242507750602824,0.4237461617195496,fn<0_inferred,1302.0,3312.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,1968,8082,2660,7390,0.4603658536585366,0.6007518796992481,0.1225981055480378,0.1977233358079683,fn<0,906.0,1598.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,528,8376,56,8848,0.9602272727272728,0.625,0.0573010849909584,0.004178605539637,fn>=0_inferred,507.0,35.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.600000-notes/run_0,3808,16192,5346,14654,0.4750525210084033,0.626075570520015,0.1234475228606523,0.2067070158102766,all,1809.0,3347.0,1.0,0.6
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1179,8784,2702,7261,0.5038167938931297,0.7834937083641746,0.0818069136482578,0.2410063752276867,fn>=0,594.0,2117.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,442,7596,11,8027,0.9819004524886876,0.2727272727272727,0.054067522112869,0.0003949447077409,fn>=0_inferred,434.0,3.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,1742,8295,2642,7395,0.5304247990815155,0.6903860711582135,0.1249492900608519,0.2198915009041591,fn<0,924.0,1824.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,2921,17079,5344,14656,0.5196850393700787,0.7374625748502994,0.103575327510917,0.2307512149423268,all,1518.0,3941.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.700000-notes/run_0,2479,9483,5333,6629,0.4372730939895119,0.7384211513219576,0.1635239100920199,0.4152694295054308,fn<0_inferred,1084.0,3938.0,1.0,0.7
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,464,7687,15,8136,0.9956896551724138,0.8666666666666667,0.0567846607669616,0.0016911669051645,fn>=0_inferred,462.0,13.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,2654,9195,5209,6640,0.4291635267520723,0.709157227874832,0.1715361445783132,0.4017400761283306,fn<0_inferred,1139.0,3694.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1253,8709,2622,7340,0.5371109337589784,0.778794813119756,0.0916893732970027,0.234470088414284,fn>=0,673.0,2042.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,1865,8173,2602,7436,0.4975871313672922,0.6398923904688701,0.1247982786444324,0.2037195644194298,fn<0,928.0,1665.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.800000-notes/run_0,3118,16882,5224,14776,0.513470173187941,0.7096094946401225,0.1083513806172171,0.2195829877976543,all,1601.0,3707.0,1.0,0.8
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,4848,15152,5238,14762,0.441006600660066,0.482626956853761,0.1448313236688795,0.1668426610348468,all,2138.0,2528.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,2225,7807,2628,7404,0.4107865168539326,0.5011415525114156,0.1234467855213398,0.1686947611118227,fn<0,914.0,1317.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,2623,7345,2610,7358,0.4666412504765536,0.4639846743295019,0.1663495515085621,0.1648740639891082,fn>=0,1224.0,1211.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,2927,8245,3622,7550,0.4127092586265801,0.5254003313086693,0.16,0.2308065494238932,fn<0_inferred,1208.0,1903.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-0.900000-notes/run_0,1921,6907,1616,7212,0.4841228526808954,0.3867574257425742,0.1289517470881863,0.0904879108151151,fn>=0_inferred,930.0,625.0,1.0,0.9
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,703,9215,2585,7333,0.6742532005689901,0.911411992263056,0.0646393017864448,0.2556701030927835,fn>=0,474.0,2356.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,1764,8318,2653,7429,0.5124716553287982,0.6758386732001508,0.1216852873872661,0.2155566241885068,fn<0,904.0,1793.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,2096,10242,5235,7103,0.4804389312977099,0.7919770773638969,0.1417710826411375,0.4048037492677211,fn<0_inferred,1007.0,4146.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,371,7291,3,7659,1.0,1.0,0.048439744091918,0.0004114661911946,fn>=0_inferred,371.0,3.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/1-r_fun-1.000000-notes/run_0,2467,17533,5238,14762,0.558573165788407,0.7920962199312714,0.0933477848530009,0.2366394798380197,all,1378.0,4149.0,1.0,1.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,1172,5438,1107,5503,0.1049488054607508,0.052393857271906,0.0223514446665455,0.0106656859139389,fn>=0_inferred,123.0,58.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,2556,10834,4049,9341,0.2981220657276995,0.5569276364534453,0.0815758484102344,0.2081410374746169,fn<0_inferred,762.0,2255.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,3728,16272,5156,14844,0.2373927038626609,0.4486035686578743,0.0596200485044462,0.142146017699115,all,885.0,2313.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,2214,7868,2660,7422,0.2705510388437218,0.3928571428571428,0.0807060091619509,0.1328164717844433,fn>=0,599.0,1045.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.000000-notes/run_0,1514,8404,2496,7422,0.1889035667107001,0.5080128205128205,0.0385340878469415,0.1508805330794859,fn<0,286.0,1268.0,10.0,0.0
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2122,8438,3103,7457,0.3647502356267672,0.5655816951337416,0.1037950918599973,0.207987674804456,fn<0_inferred,774.0,1755.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2284,7766,2583,7467,0.3261821366024518,0.4041811846689895,0.0997723315923396,0.1344321400978624,fn>=0,745.0,1044.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,1968,7982,2519,7431,0.3709349593495935,0.5085351329892814,0.0982371147893957,0.1604860937108494,fn<0,730.0,1281.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,2130,7310,1999,7441,0.3291079812206572,0.2851425712856428,0.0942077677731487,0.0779753761969904,fn>=0_inferred,701.0,570.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.100000-notes/run_0,4252,15748,5102,14898,0.34689557855127,0.455703645629165,0.0990065780641696,0.1476377952755905,all,1475.0,2325.0,10.0,0.1
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,4392,15608,5215,14785,0.3542805100182149,0.4561840843720038,0.1052417991207304,0.1524218349564326,all,1556.0,2379.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2087,7885,2568,7404,0.3699089602299952,0.4879283489096573,0.104267963263101,0.1589093214965123,fn<0,772.0,1253.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2377,8556,3540,7393,0.3634833824148086,0.5725988700564971,0.1168673069119437,0.2369097709209911,fn<0_inferred,864.0,2027.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2305,7723,2647,7381,0.3401301518438178,0.4253872308273517,0.1062186695569706,0.1457982649229574,fn>=0,784.0,1126.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.200000-notes/run_0,2015,7052,1675,7392,0.343424317617866,0.2101492537313432,0.0936147186147186,0.0499149177538287,fn>=0_inferred,692.0,352.0,10.0,0.2
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,4549,15451,5220,14780,0.3530446251923499,0.4362068965517241,0.1086603518267929,0.1473691023234742,all,1606.0,2277.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2220,7820,2596,7444,0.3545045045045045,0.4479969183359014,0.1057227297152068,0.1487212276214833,fn<0,787.0,1163.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2329,7631,2624,7336,0.3516530699871189,0.4245426829268293,0.1116412213740458,0.1459834884025684,fn>=0,819.0,1114.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,1825,10370,2722,9473,0.4580821917808219,0.6366642174871419,0.0882508181146416,0.1671166827386692,fn<0_inferred,836.0,1733.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.300000-notes/run_0,2724,5081,2498,5307,0.2826725403817914,0.2177742193755004,0.1450913887318635,0.1070655382798661,fn>=0_inferred,770.0,544.0,10.0,0.3
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,1828,8158,2660,7326,0.4015317286652078,0.5887218045112782,0.1001911001911002,0.1919588134346653,fn<0,734.0,1566.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,1631,8082,2774,6939,0.4365419987737584,0.6687094448449892,0.1026084450208963,0.2295223954466716,fn<0_inferred,712.0,1855.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,1841,8173,2575,7439,0.4242259641499185,0.5883495145631068,0.1049872294663261,0.1853664505077694,fn>=0,781.0,1515.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,3669,16331,5235,14765,0.4129190515126738,0.5885386819484241,0.1026075177785303,0.1886596044332864,all,1515.0,3081.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.400000-notes/run_0,2038,8249,2461,7826,0.3940137389597645,0.4981714750101584,0.1026066956299514,0.1486240756455328,fn>=0_inferred,803.0,1226.0,10.0,0.4
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1969,8154,2588,7535,0.4789233113255459,0.6035548686244204,0.125149303251493,0.1915624233505028,fn>=0,943.0,1562.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1735,9021,2713,8043,0.4253602305475504,0.6325101363803907,0.0917568071615069,0.1902228134353176,fn<0_inferred,738.0,1716.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1797,7447,2438,6806,0.447968836950473,0.5931091058244463,0.1182779900088157,0.1941721498590036,fn>=0_inferred,805.0,1446.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,3532,16468,5151,14849,0.4368629671574179,0.6138613861386139,0.1039127213953801,0.1920087442312363,all,1543.0,3162.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.500000-notes/run_0,1563,8314,2563,7314,0.3838771593090211,0.6242684354272338,0.0820344544708777,0.1924464758239114,fn<0,600.0,1600.0,10.0,0.5
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,367,7847,43,8171,0.9782016348773842,0.813953488372093,0.0439358707624525,0.0044603033006244,fn>=0_inferred,359.0,35.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,2847,8939,5158,6628,0.4246575342465753,0.6824350523458705,0.1824079662039831,0.3937800648842152,fn<0_inferred,1209.0,3520.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1591,8409,2583,7417,0.4820867379006914,0.680991095625242,0.1034110826479708,0.2091806397907004,fn>=0,767.0,1759.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,1623,8377,2618,7382,0.4935304990757855,0.6860198624904508,0.1085071796261175,0.2143965620150411,fn<0,801.0,1796.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/homophily/output_helpfulness_True/data/10-r_fun-0.600000-notes/run_0,3214,16786,5201,14799,0.4878655880522713,0.6835223995385503,0.1059531049395229,0.2117836292148218,all,1568.0,3555.0,10.0,0.6
