params,run_result_dir,n_H,n_U,n_h,n_u,p_u_H,p_h_U,p_H_u,p_U_h,condition,n_uH,n_hU,no_run,mu_fnr
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,4292,15708,4860,15140,0.3450605778191985,0.4216049382716049,0.0978203434610303,0.1304430863254392,all,1481.0,2049.0,1.0,0.2
1-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.200000-notes/run_0,1674,7664,1912,7426,0.4074074074074074,0.4811715481171548,0.0918394828979262,0.1200417536534446,fn>=0_inferred,682.0,920.0,1.0,0.2
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,2019,7977,2253,7743,0.3615651312530956,0.4278739458499778,0.0942787033449567,0.1208474363795913,fn<0,730.0,964.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,1049,6910,785,7174,0.5843660629170638,0.4445859872611465,0.0854474491218288,0.050506512301013,fn>=0_inferred,613.0,349.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,3138,8903,3803,8238,0.2909496494582537,0.4149355771759137,0.1108278708424374,0.1772436257441312,fn<0_inferred,913.0,1578.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,2168,7836,2335,7669,0.3671586715867159,0.4124197002141327,0.1037944973269005,0.1228943338437978,fn>=0,796.0,963.0,1.0,0.3
1-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.300000-notes/run_0,4187,15813,4588,15412,0.3644614282302365,0.4200087183958151,0.0990137555151829,0.1218617593119585,all,1526.0,1927.0,1.0,0.3
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,2169,7794,2123,7840,0.4343015214384509,0.4220442769665568,0.1201530612244898,0.1149602258147292,fn<0,942.0,896.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,4157,15843,4244,15756,0.4125571325475102,0.4245994344957587,0.1088474232038588,0.1137410843905825,all,1715.0,1802.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,2632,8344,3027,7949,0.3495440729483283,0.434423521638586,0.1157378286576927,0.1575982742090124,fn<0_inferred,920.0,1315.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,1525,7499,1217,7807,0.521311475409836,0.400164338537387,0.1018316895094146,0.0649419922656354,fn>=0_inferred,795.0,487.0,1.0,0.4
1-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.400000-notes/run_0,1988,8049,2121,7916,0.3888329979879276,0.4271570014144271,0.0976503284487114,0.1125605665300037,fn>=0,773.0,906.0,1.0,0.4
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,3888,16112,3671,16329,0.4580761316872428,0.4260419504222282,0.1090697531998285,0.0970705064548162,all,1781.0,1564.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,1926,8169,1809,8286,0.4735202492211838,0.439469320066335,0.1100651701665459,0.0973191333088505,fn>=0,912.0,795.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,2543,8430,2704,8269,0.4066063704286276,0.4419378698224852,0.1250453501027935,0.1417556346381969,fn<0_inferred,1034.0,1195.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,1345,7682,967,8060,0.5553903345724907,0.3815925542916236,0.0926799007444168,0.0480343660505076,fn>=0_inferred,747.0,369.0,1.0,0.5
1-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.500000-notes/run_0,1962,7943,1862,8043,0.4429153924566769,0.4129967776584318,0.1080442620912594,0.0968148054891099,fn<0,869.0,769.0,1.0,0.5
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,1910,8172,1608,8474,0.4926701570680628,0.3973880597014925,0.1110455510974746,0.0781938325991189,fn>=0,941.0,639.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,2417,8617,2256,8778,0.4443525031030202,0.4046985815602837,0.1223513328776486,0.1059533480329581,fn<0_inferred,1074.0,913.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,1904,8014,1567,8351,0.5220588235294118,0.4192724952137843,0.1190276613579212,0.0819815323184427,fn<0,994.0,657.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,1397,7569,919,8047,0.6163206871868289,0.4167573449401523,0.1069963961724866,0.0506011362135024,fn>=0_inferred,861.0,383.0,1.0,0.6
1-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.600000-notes/run_0,3814,16186,3175,16825,0.5073413738856843,0.4081889763779527,0.1150074294205052,0.0800691956011367,all,1935.0,1296.0,1.0,0.6
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.700000-notes/run_0,1702,8320,1312,8710,0.5757931844888367,0.4496951219512195,0.1125143513203214,0.0709134615384615,fn>=0,980.0,590.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.700000-notes/run_0,1735,8261,1505,8491,0.5538904899135446,0.4857142857142857,0.1131786597573901,0.0884880765040552,fn>=0_inferred,961.0,731.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.700000-notes/run_0,1739,8239,1332,8646,0.5577918343875791,0.4226726726726726,0.1121906083738144,0.0683335356232552,fn<0,970.0,563.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.700000-notes/run_0,3441,16559,2644,17356,0.5666957279860506,0.4360816944024205,0.1123530767457939,0.069629808563319,all,1950.0,1153.0,1.0,0.7
1-r_fun-0.700000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.700000-notes/run_0,1706,8298,1139,8865,0.5797186400937866,0.3705004389815627,0.1115623237450648,0.0508556278621354,fn<0_inferred,989.0,422.0,1.0,0.7
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.800000-notes/run_0,1512,7968,795,8685,0.6884920634920635,0.4075471698113208,0.1198618307426597,0.0406626506024096,fn>=0_inferred,1041.0,324.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.800000-notes/run_0,1890,8630,1298,9222,0.6111111111111112,0.4337442218798151,0.1252439817826935,0.0652375434530706,fn<0_inferred,1155.0,563.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.800000-notes/run_0,1639,8425,1037,9027,0.6351433801098231,0.4233365477338476,0.1153207045530076,0.052106824925816,fn>=0,1041.0,439.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.800000-notes/run_0,1763,8173,1056,8880,0.6551332955190017,0.4242424242424242,0.1300675675675675,0.0548146335494922,fn<0,1155.0,448.0,1.0,0.8
1-r_fun-0.800000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.800000-notes/run_0,3402,16598,2093,17907,0.6455026455026455,0.4237935977066412,0.1226336069693416,0.0534401735148813,all,2196.0,887.0,1.0,0.8
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.900000-notes/run_0,3046,16954,1543,18457,0.7133946158896914,0.4342190537913156,0.1177331093893915,0.0395186976524713,all,2173.0,670.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.900000-notes/run_0,1587,8405,776,9216,0.7252678008821676,0.4381443298969072,0.1248914930555555,0.0404521118381915,fn<0,1151.0,340.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.900000-notes/run_0,1459,8549,767,9241,0.7004797806716929,0.4302477183833116,0.1105940915485337,0.03860100596561,fn>=0,1022.0,330.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.900000-notes/run_0,1620,8621,965,9276,0.674074074074074,0.4528497409326424,0.1177231565329883,0.0506901751536944,fn<0_inferred,1092.0,437.0,1.0,0.9
1-r_fun-0.900000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-0.900000-notes/run_0,1426,8333,578,9181,0.7580645161290323,0.4031141868512111,0.1177431652325454,0.0279611184447377,fn>=0_inferred,1081.0,233.0,1.0,0.9
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-1.000000-notes/run_0,1262,8586,588,9260,0.7297939778129953,0.4200680272108844,0.0994600431965442,0.0287677614721639,fn>=0,921.0,247.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-1.000000-notes/run_0,1480,8672,625,9527,0.7418918918918919,0.3888,0.1152513907840873,0.0280212177121771,fn<0,1098.0,243.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-1.000000-notes/run_0,1410,8715,723,9402,0.7028368794326241,0.4204702627939142,0.1054031057221867,0.0348823866896156,fn<0_inferred,991.0,304.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-1.000000-notes/run_0,1332,8543,490,9385,0.7717717717717718,0.3795918367346939,0.1095364944059669,0.0217722111670373,fn>=0_inferred,1028.0,186.0,1.0,1.0
1-r_fun-1.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/1-r_fun-1.000000-notes/run_0,2742,17258,1213,18787,0.7363238512035011,0.403957131079967,0.1074679299515622,0.028392629505157,all,2019.0,490.0,1.0,1.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.000000-notes/run_0,1782,7669,1922,7529,0.3849607182940516,0.4297606659729448,0.091114357816443,0.1077063502412309,fn>=0_inferred,686.0,826.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.000000-notes/run_0,2529,8020,3286,7263,0.2787663107947805,0.4449178332318929,0.0970673275505989,0.1822942643391521,fn<0_inferred,705.0,1462.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.000000-notes/run_0,4311,15689,5208,14792,0.3226629552308049,0.4393241167434716,0.0940373174689021,0.1458346612276117,all,1391.0,2288.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.000000-notes/run_0,2254,7687,2590,7351,0.3438331854480922,0.428957528957529,0.1054278329478982,0.1445297255106023,fn>=0,775.0,1111.0,10.0,0.0
10-r_fun-0.000000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.000000-notes/run_0,2057,8002,2618,7441,0.2994652406417112,0.4495798319327731,0.0827845719661335,0.1470882279430142,fn<0,616.0,1177.0,10.0,0.0
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.100000-notes/run_0,2086,7923,2495,7514,0.3072866730584851,0.4208416833667334,0.0853074261378759,0.1325255585005679,fn<0_inferred,641.0,1050.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.100000-notes/run_0,2246,7746,2542,7450,0.3388245770258237,0.4158143194335169,0.1021476510067114,0.1364575264652724,fn>=0,761.0,1057.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.100000-notes/run_0,2085,7923,2538,7470,0.3074340527577938,0.4310480693459417,0.085809906291834,0.1380790104758298,fn<0,641.0,1094.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.100000-notes/run_0,2245,7746,2585,7406,0.3389755011135857,0.4259187620889748,0.1027545233594383,0.1421378776142525,fn>=0_inferred,761.0,1101.0,10.0,0.1
10-r_fun-0.100000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.100000-notes/run_0,4331,15669,5080,14920,0.3237127684137612,0.4234251968503937,0.0939678284182305,0.1372774267662263,all,1402.0,2151.0,10.0,0.1
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.200000-notes/run_0,4179,15821,4906,15094,0.3474515434314429,0.4441500203832042,0.0961971644361998,0.1377283357562733,all,1452.0,2179.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.200000-notes/run_0,2145,7923,2422,7646,0.3682983682983683,0.4405450041288191,0.1033219984305519,0.1346712104001009,fn<0,790.0,1067.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.200000-notes/run_0,2756,8234,3430,7560,0.2899129172714078,0.4294460641399417,0.1056878306878306,0.1788923973767306,fn<0_inferred,799.0,1473.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.200000-notes/run_0,2034,7898,2484,7448,0.3254670599803343,0.4476650563607085,0.0888829215896885,0.1407951380096226,fn>=0,662.0,1112.0,10.0,0.2
10-r_fun-0.200000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.200000-notes/run_0,1423,7587,1476,7534,0.4588896697118763,0.4783197831978319,0.0866737456862224,0.0930539080005272,fn>=0_inferred,653.0,706.0,10.0,0.2
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.300000-notes/run_0,4150,15850,4515,15485,0.3785542168674699,0.4287929125138427,0.1014530190506942,0.1221451104100946,all,1571.0,1936.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.300000-notes/run_0,2156,7930,2265,7821,0.4095547309833024,0.4379690949227373,0.1129011635340749,0.1250945775535939,fn<0,883.0,992.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.300000-notes/run_0,1994,7920,2250,7664,0.3450351053159478,0.4195555555555555,0.0897703549060542,0.1191919191919192,fn>=0,688.0,944.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.300000-notes/run_0,3017,8417,3447,7987,0.2963208485250249,0.3841021177835799,0.1119318893201452,0.1573007009623381,fn<0_inferred,894.0,1324.0,10.0,0.3
10-r_fun-0.300000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.300000-notes/run_0,1133,7433,1068,7498,0.5975286849073257,0.5730337078651685,0.0902907441984529,0.0823355307412888,fn>=0_inferred,677.0,612.0,10.0,0.3
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.400000-notes/run_0,2065,7964,2049,7980,0.4527845036319612,0.4485114690092728,0.1171679197994987,0.1153942742340532,fn<0,935.0,919.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.400000-notes/run_0,2767,8407,3200,7974,0.3545355981207083,0.441875,0.1230248306997742,0.1681931723563696,fn<0_inferred,981.0,1414.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.400000-notes/run_0,1952,8019,2054,7917,0.4103483606557377,0.4396299902629016,0.1011746873815839,0.1126075570520015,fn>=0,801.0,903.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.400000-notes/run_0,4017,15983,4103,15897,0.4321633059497137,0.4440653180599561,0.1092029942756494,0.1139961208784333,all,1736.0,1822.0,10.0,0.4
10-r_fun-0.400000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.400000-notes/run_0,1250,7576,903,7923,0.604,0.4518272425249169,0.0952921873027893,0.0538542766631467,fn>=0_inferred,755.0,408.0,10.0,0.4
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.500000-notes/run_0,1879,8191,1817,8253,0.4300159659393294,0.4105668684645019,0.0979037925602811,0.0910755707483823,fn>=0,808.0,746.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.500000-notes/run_0,1853,8243,2013,8083,0.4425256341068537,0.4868355688027819,0.101447482370407,0.1188887540943831,fn<0_inferred,820.0,980.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.500000-notes/run_0,1917,7987,1607,8297,0.4329681794470527,0.3235843186060983,0.1000361576473424,0.0651057969199949,fn>=0_inferred,830.0,520.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.500000-notes/run_0,3770,16230,3620,16380,0.4376657824933687,0.4143646408839779,0.1007326007326007,0.0924214417744916,all,1650.0,1500.0,10.0,0.5
10-r_fun-0.500000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.500000-notes/run_0,1891,8039,1803,8127,0.4452670544685351,0.418191902384914,0.103605266395964,0.0937927602935688,fn<0,842.0,754.0,10.0,0.5
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.600000-notes/run_0,1408,7865,1092,8181,0.5880681818181818,0.4688644688644688,0.1012101210121012,0.0650985378258105,fn>=0_inferred,828.0,512.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.600000-notes/run_0,2200,8527,1986,8741,0.4581818181818182,0.3997985901309164,0.1153186134309575,0.0931159845197607,fn<0_inferred,1008.0,794.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.600000-notes/run_0,1808,8146,1545,8409,0.5110619469026548,0.427831715210356,0.1098822689975026,0.0811441198134053,fn>=0,924.0,661.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.600000-notes/run_0,1800,8246,1533,8513,0.5066666666666667,0.4207436399217221,0.1071302713497004,0.0782197429056512,fn<0,912.0,645.0,10.0,0.6
10-r_fun-0.600000,/N/project/community_notes_manip/communitynotes/synthetic_data/2025-08-21_results/note_pol/output_helpfulness_False/data/10-r_fun-0.600000-notes/run_0,3608,16392,3078,16922,0.508869179600887,0.424301494476933,0.1084978134972225,0.0796730112249878,all,1836.0,1306.0,10.0,0.6
